Customer ID,Age,Purchase Amount (USD),Review Rating,Previous Purchases,Age Group,Spending Tier,Rating Category,Loyalty Level,Gender,Item Purchased,Category,Location,Location Code,Size,Color,Season,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Payment Method,Frequency of Purchases
451,25,21,2.7,19,23-27,20-24,2.5-2.9,16-20,Male,Boots,Footwear,Connecticut,CT,L,Beige,Summer,Yes,Store Pickup,Yes,Yes,Credit Card,Monthly
452,66,31,4.3,26,63-67,30-34,4.0-4.4,26-30,Male,Jewelry,Accessories,Virginia,VA,M,Pink,Summer,Yes,Express,Yes,Yes,Credit Card,Fortnightly
453,45,45,3.3,39,43-47,45-49,3.0-3.4,36-40,Male,Pants,Clothing,Missouri,MO,M,Violet,Summer,Yes,Express,Yes,Yes,PayPal,Fortnightly
454,54,56,2.8,22,53-57,55-59,2.5-2.9,21-25,Male,Jewelry,Accessories,Nebraska,NE,XL,Peach,Winter,Yes,Next Day Air,Yes,Yes,Credit Card,Weekly
455,37,97,3.2,14,33-37,95-100,3.0-3.4,11-15,Male,Jacket,Outerwear,New Jersey,NJ,S,Gold,Summer,Yes,Next Day Air,Yes,Yes,Cash,Bi-Weekly
456,54,100,3.6,50,53-57,95-100,3.5-3.9,46-50,Male,Blouse,Clothing,Utah,UT,XL,Gold,Fall,Yes,Store Pickup,Yes,Yes,Debit Card,Fortnightly
457,50,96,4.0,33,48-52,95-100,4.0-4.4,31-35,Male,Blouse,Clothing,North Carolina,NC,S,Indigo,Fall,Yes,2-Day Shipping,Yes,Yes,Credit Card,Quarterly
458,25,99,4.9,48,23-27,95-100,4.5-5.0,46-50,Male,Gloves,Accessories,Rhode Island,RI,M,Blue,Spring,Yes,Next Day Air,Yes,Yes,Debit Card,Every 3 Months
459,47,91,4.0,48,43-47,90-94,4.0-4.4,46-50,Male,Shorts,Clothing,Arkansas,AR,L,Black,Winter,Yes,2-Day Shipping,Yes,Yes,PayPal,Monthly
460,63,30,3.8,27,63-67,30-34,3.5-3.9,26-30,Male,Hat,Accessories,Maryland,MD,L,Black,Winter,Yes,Standard,Yes,Yes,PayPal,Fortnightly
461,64,65,3.7,27,63-67,65-69,3.5-3.9,26-30,Male,Shoes,Footwear,South Carolina,SC,L,Teal,Summer,Yes,Store Pickup,Yes,Yes,Bank Transfer,Weekly
462,18,93,3.9,20,18-22,90-94,3.5-3.9,16-20,Male,Boots,Footwear,Ohio,OH,M,Yellow,Winter,Yes,Express,Yes,Yes,Venmo,Weekly
463,59,81,3.3,48,58-62,80-84,3.0-3.4,46-50,Male,Jacket,Outerwear,Illinois,IL,M,White,Fall,Yes,Express,Yes,Yes,Venmo,Every 3 Months
464,37,81,2.7,29,33-37,80-84,2.5-2.9,26-30,Male,Jewelry,Accessories,Georgia,GA,S,Orange,Summer,Yes,Standard,Yes,Yes,Venmo,Weekly
465,23,52,4.7,45,23-27,50-54,4.5-5.0,41-45,Male,Sunglasses,Accessories,Alabama,AL,M,Silver,Winter,Yes,Next Day Air,Yes,Yes,PayPal,Monthly
466,54,88,2.8,25,53-57,85-89,2.5-2.9,21-25,Male,Skirt,Clothing,Oklahoma,OK,M,Pink,Summer,Yes,Next Day Air,Yes,Yes,Cash,Quarterly
467,38,24,4.6,25,38-42,20-24,4.5-5.0,21-25,Male,Jeans,Clothing,Vermont,VT,L,Turquoise,Winter,Yes,Free Shipping,Yes,Yes,PayPal,Weekly
468,19,51,4.5,37,18-22,50-54,4.5-5.0,36-40,Male,Backpack,Accessories,Nebraska,NE,S,Orange,Spring,Yes,2-Day Shipping,Yes,Yes,Debit Card,Every 3 Months
469,34,38,5.0,16,33-37,35-39,4.5-5.0,16-20,Male,Backpack,Accessories,Georgia,GA,S,Peach,Fall,Yes,Free Shipping,Yes,Yes,Cash,Quarterly
470,21,46,4.1,30,18-22,45-49,4.0-4.4,26-30,Male,Shorts,Clothing,Alabama,AL,L,Pink,Fall,Yes,2-Day Shipping,Yes,Yes,Debit Card,Bi-Weekly
471,50,63,4.6,6,48-52,60-64,4.5-5.0,6-10,Male,Dress,Clothing,Minnesota,MN,L,Teal,Summer,Yes,Express,Yes,Yes,Cash,Every 3 Months
472,55,72,4.9,36,53-57,70-74,4.5-5.0,36-40,Male,Scarf,Accessories,Missouri,MO,XL,White,Winter,Yes,2-Day Shipping,Yes,Yes,Bank Transfer,Quarterly
473,20,39,3.9,3,18-22,35-39,3.5-3.9,1-5,Male,Jeans,Clothing,Georgia,GA,L,Gray,Winter,Yes,Free Shipping,Yes,Yes,Bank Transfer,Quarterly
474,34,42,3.9,29,33-37,40-44,3.5-3.9,26-30,Male,Coat,Outerwear,West Virginia,WV,L,Olive,Spring,Yes,Store Pickup,Yes,Yes,PayPal,Every 3 Months
475,62,76,2.6,15,58-62,75-79,2.5-2.9,11-15,Male,Sweater,Clothing,Arkansas,AR,XL,Maroon,Summer,Yes,2-Day Shipping,Yes,Yes,Cash,Quarterly
476,21,66,2.7,18,18-22,65-69,2.5-2.9,16-20,Male,Sneakers,Footwear,Ohio,OH,L,Magenta,Summer,Yes,Free Shipping,Yes,Yes,Debit Card,Annually
477,21,90,3.5,2,18-22,90-94,3.5-3.9,1-5,Male,Scarf,Accessories,Connecticut,CT,M,Magenta,Spring,Yes,Free Shipping,Yes,Yes,Debit Card,Fortnightly
478,42,56,3.7,49,38-42,55-59,3.5-3.9,46-50,Male,Sweater,Clothing,North Dakota,ND,M,Green,Summer,Yes,Free Shipping,Yes,Yes,Debit Card,Weekly
479,35,43,3.2,48,33-37,40-44,3.0-3.4,46-50,Male,Jewelry,Accessories,Kansas,KS,XL,Turquoise,Winter,Yes,Free Shipping,Yes,Yes,Venmo,Annually
480,39,84,3.3,43,38-42,80-84,3.0-3.4,41-45,Male,Handbag,Accessories,Iowa,IA,L,Yellow,Winter,Yes,Store Pickup,Yes,Yes,Venmo,Monthly
481,68,88,4.8,30,68-70,85-89,4.5-5.0,26-30,Male,Hoodie,Clothing,Vermont,VT,M,Gray,Summer,Yes,Standard,Yes,Yes,Debit Card,Bi-Weekly
482,46,88,3.2,10,43-47,85-89,3.0-3.4,6-10,Male,Hat,Accessories,Wisconsin,WI,L,Peach,Fall,Yes,2-Day Shipping,Yes,Yes,PayPal,Fortnightly
483,41,42,2.5,11,38-42,40-44,2.5-2.9,11-15,Male,Belt,Accessories,Connecticut,CT,M,Yellow,Winter,Yes,2-Day Shipping,Yes,Yes,Venmo,Annually
484,23,73,3.9,12,23-27,70-74,3.5-3.9,11-15,Male,Hoodie,Clothing,Oklahoma,OK,M,White,Fall,Yes,Store Pickup,Yes,Yes,Debit Card,Weekly
485,68,73,4.7,28,68-70,70-74,4.5-5.0,26-30,Male,Hat,Accessories,Missouri,MO,L,Lavender,Summer,Yes,Free Shipping,Yes,Yes,Bank Transfer,Quarterly
486,48,44,2.6,36,48-52,40-44,2.5-2.9,36-40,Male,Shoes,Footwear,Tennessee,TN,S,Blue,Spring,Yes,Next Day Air,Yes,Yes,Debit Card,Fortnightly
487,38,63,2.8,37,38-42,60-64,2.5-2.9,36-40,Male,Sandals,Footwear,New Mexico,NM,M,Charcoal,Fall,Yes,Store Pickup,Yes,Yes,Venmo,Every 3 Months
488,41,68,4.4,22,38-42,65-69,4.0-4.4,21-25,Male,Jacket,Outerwear,Iowa,IA,L,Red,Winter,Yes,Store Pickup,Yes,Yes,Credit Card,Quarterly
489,58,29,4.6,32,58-62,25-29,4.5-5.0,31-35,Male,Sweater,Clothing,Maine,ME,L,Olive,Spring,Yes,Standard,Yes,Yes,Venmo,Weekly
490,49,85,3.2,40,48-52,85-89,3.0-3.4,36-40,Male,Socks,Clothing,South Dakota,SD,M,Green,Summer,Yes,Standard,Yes,Yes,PayPal,Annually
491,57,42,4.2,47,53-57,40-44,4.0-4.4,46-50,Male,Sneakers,Footwear,Colorado,CO,M,Silver,Winter,Yes,2-Day Shipping,Yes,Yes,Cash,Monthly
492,49,69,3.7,24,48-52,65-69,3.5-3.9,21-25,Male,Coat,Outerwear,Vermont,VT,M,Silver,Summer,Yes,2-Day Shipping,Yes,Yes,Credit Card,Bi-Weekly
493,50,62,3.9,11,48-52,60-64,3.5-3.9,11-15,Male,Shirt,Clothing,Michigan,MI,M,Black,Fall,Yes,Standard,Yes,Yes,Debit Card,Weekly
494,28,48,4.7,19,28-32,45-49,4.5-5.0,16-20,Male,Backpack,Accessories,Nevada,NV,XL,Red,Summer,Yes,Store Pickup,Yes,Yes,Cash,Bi-Weekly
495,38,68,4.5,42,38-42,65-69,4.5-5.0,41-45,Male,Boots,Footwear,Indiana,IN,M,Indigo,Winter,Yes,Express,Yes,Yes,Debit Card,Weekly
496,33,36,3.3,6,33-37,35-39,3.0-3.4,6-10,Male,Handbag,Accessories,Michigan,MI,XL,Cyan,Fall,Yes,Free Shipping,Yes,Yes,Debit Card,Fortnightly
497,30,63,3.3,31,28-32,60-64,3.0-3.4,31-35,Male,Dress,Clothing,California,CA,S,Maroon,Fall,Yes,Express,Yes,Yes,Venmo,Fortnightly
498,43,39,4.6,31,43-47,35-39,4.5-5.0,31-35,Male,Sneakers,Footwear,Oklahoma,OK,S,Silver,Winter,Yes,Free Shipping,Yes,Yes,Cash,Weekly
499,43,78,3.6,27,43-47,75-79,3.5-3.9,26-30,Male,Boots,Footwear,Iowa,IA,M,Lavender,Spring,Yes,Free Shipping,Yes,Yes,Bank Transfer,Monthly
500,36,99,4.8,24,33-37,95-100,4.5-5.0,21-25,Male,Shoes,Footwear,Rhode Island,RI,L,Silver,Winter,Yes,Express,Yes,Yes,PayPal,Monthly
501,36,31,4.8,35,33-37,30-34,4.5-5.0,31-35,Male,T-shirt,Clothing,Washington,WA,L,Purple,Fall,Yes,Next Day Air,Yes,Yes,Venmo,Every 3 Months
502,64,45,2.9,21,63-67,45-49,2.5-2.9,21-25,Male,Boots,Footwear,Florida,FL,M,Cyan,Spring,Yes,Next Day Air,Yes,Yes,Venmo,Annually
503,59,30,2.8,8,58-62,30-34,2.5-2.9,6-10,Male,Pants,Clothing,South Carolina,SC,S,Cyan,Fall,Yes,Express,Yes,Yes,PayPal,Fortnightly
504,55,24,3.2,26,53-57,20-24,3.0-3.4,26-30,Male,Shoes,Footwear,West Virginia,WV,M,Lavender,Summer,Yes,Next Day Air,Yes,Yes,Bank Transfer,Quarterly
505,42,22,3.9,26,38-42,20-24,3.5-3.9,26-30,Male,Shoes,Footwear,Missouri,MO,M,Maroon,Winter,Yes,Free Shipping,Yes,Yes,PayPal,Annually
506,61,63,4.3,9,58-62,60-64,4.0-4.4,6-10,Male,T-shirt,Clothing,Maine,ME,L,Gray,Spring,Yes,Express,Yes,Yes,Cash,Bi-Weekly
507,28,40,2.7,48,28-32,40-44,2.5-2.9,46-50,Male,Scarf,Accessories,Georgia,GA,M,Olive,Fall,Yes,2-Day Shipping,Yes,Yes,Debit Card,Annually
508,65,20,5.0,33,63-67,20-24,4.5-5.0,31-35,Male,Shorts,Clothing,Maine,ME,M,Magenta,Spring,Yes,Store Pickup,Yes,Yes,Debit Card,Fortnightly
509,27,20,3.7,31,23-27,20-24,3.5-3.9,31-35,Male,Jewelry,Accessories,Illinois,IL,S,Yellow,Winter,Yes,Store Pickup,Yes,Yes,PayPal,Quarterly
510,41,80,3.9,17,38-42,80-84,3.5-3.9,16-20,Male,T-shirt,Clothing,Delaware,DE,L,Cyan,Summer,Yes,Free Shipping,Yes,Yes,Debit Card,Weekly
511,21,87,3.9,22,18-22,85-89,3.5-3.9,21-25,Male,Shirt,Clothing,West Virginia,WV,M,Teal,Fall,Yes,2-Day Shipping,Yes,Yes,Venmo,Annually
512,61,46,3.1,8,58-62,45-49,3.0-3.4,6-10,Male,Shirt,Clothing,Hawaii,HI,L,Yellow,Fall,Yes,Free Shipping,Yes,Yes,PayPal,Annually
513,19,49,3.3,2,18-22,45-49,3.0-3.4,1-5,Male,Gloves,Accessories,New York,NY,L,Peach,Winter,Yes,Next Day Air,Yes,Yes,Bank Transfer,Monthly
514,22,65,3.6,45,18-22,65-69,3.5-3.9,41-45,Male,Scarf,Accessories,New Mexico,NM,M,Peach,Fall,Yes,Store Pickup,Yes,Yes,Venmo,Annually
515,64,62,4.3,47,63-67,60-64,4.0-4.4,46-50,Male,Skirt,Clothing,Indiana,IN,S,Olive,Winter,Yes,Standard,Yes,Yes,PayPal,Quarterly
516,28,67,4.5,7,28-32,65-69,4.5-5.0,6-10,Male,Hat,Accessories,Kentucky,KY,L,Charcoal,Spring,Yes,Next Day Air,Yes,Yes,Cash,Monthly
517,34,41,2.8,19,33-37,40-44,2.5-2.9,16-20,Male,Hoodie,Clothing,West Virginia,WV,L,Indigo,Fall,Yes,2-Day Shipping,Yes,Yes,Debit Card,Bi-Weekly
518,61,49,2.7,44,58-62,45-49,2.5-2.9,41-45,Male,Boots,Footwear,North Dakota,ND,L,Silver,Fall,Yes,Free Shipping,Yes,Yes,Cash,Every 3 Months
519,24,100,2.9,16,23-27,95-100,2.5-2.9,16-20,Male,Blouse,Clothing,Oregon,OR,M,Beige,Fall,Yes,Next Day Air,Yes,Yes,Venmo,Every 3 Months
520,19,54,4.4,17,18-22,50-54,4.0-4.4,16-20,Male,Belt,Accessories,Minnesota,MN,L,Blue,Summer,Yes,2-Day Shipping,Yes,Yes,Bank Transfer,Quarterly
521,51,84,3.9,20,48-52,80-84,3.5-3.9,16-20,Male,Sunglasses,Accessories,South Carolina,SC,M,White,Spring,Yes,Free Shipping,Yes,Yes,Debit Card,Quarterly
522,36,41,3.5,50,33-37,40-44,3.5-3.9,46-50,Male,Shorts,Clothing,Vermont,VT,L,Gold,Winter,Yes,Standard,Yes,Yes,Bank Transfer,Annually
523,65,88,2.5,37,63-67,85-89,2.5-2.9,36-40,Male,Gloves,Accessories,Minnesota,MN,M,Blue,Spring,Yes,Store Pickup,Yes,Yes,Cash,Quarterly
524,46,40,4.9,5,43-47,40-44,4.5-5.0,1-5,Male,Sandals,Footwear,Delaware,DE,M,Orange,Spring,Yes,Express,Yes,Yes,PayPal,Quarterly
525,59,39,4.8,44,58-62,35-39,4.5-5.0,41-45,Male,Shirt,Clothing,Pennsylvania,PA,M,Gold,Summer,Yes,Free Shipping,Yes,Yes,PayPal,Annually
526,51,37,3.2,41,48-52,35-39,3.0-3.4,41-45,Male,Coat,Outerwear,Iowa,IA,M,Cyan,Spring,Yes,Next Day Air,Yes,Yes,Debit Card,Monthly
527,51,52,4.9,19,48-52,50-54,4.5-5.0,16-20,Male,Pants,Clothing,New Jersey,NJ,S,Red,Winter,Yes,Standard,Yes,Yes,Cash,Monthly
528,21,23,4.3,47,18-22,20-24,4.0-4.4,46-50,Male,T-shirt,Clothing,South Carolina,SC,L,Yellow,Winter,Yes,Next Day Air,Yes,Yes,Bank Transfer,Every 3 Months
529,34,88,3.2,40,33-37,85-89,3.0-3.4,36-40,Male,Sneakers,Footwear,Maryland,MD,S,Beige,Winter,Yes,Express,Yes,Yes,Cash,Annually
530,32,84,3.7,6,28-32,80-84,3.5-3.9,6-10,Male,Shorts,Clothing,California,CA,M,Orange,Fall,Yes,Standard,Yes,Yes,Credit Card,Monthly
531,48,37,3.2,25,48-52,35-39,3.0-3.4,21-25,Male,Coat,Outerwear,Montana,MT,XL,Magenta,Winter,Yes,Store Pickup,Yes,Yes,Credit Card,Bi-Weekly
532,50,51,3.4,42,48-52,50-54,3.0-3.4,41-45,Male,Sandals,Footwear,Vermont,VT,L,Purple,Fall,Yes,Next Day Air,Yes,Yes,Cash,Weekly
533,26,76,4.1,35,23-27,75-79,4.0-4.4,31-35,Male,Pants,Clothing,Texas,TX,L,Black,Winter,Yes,Express,Yes,Yes,Bank Transfer,Every 3 Months
534,57,60,4.5,17,53-57,60-64,4.5-5.0,16-20,Male,Sandals,Footwear,North Carolina,NC,L,Pink,Spring,Yes,Next Day Air,Yes,Yes,Debit Card,Weekly
535,65,72,4.5,4,63-67,70-74,4.5-5.0,1-5,Male,Gloves,Accessories,Florida,FL,L,Pink,Fall,Yes,Next Day Air,Yes,Yes,PayPal,Quarterly
536,56,45,3.2,24,53-57,45-49,3.0-3.4,21-25,Male,T-shirt,Clothing,West Virginia,WV,L,Maroon,Spring,Yes,Free Shipping,Yes,Yes,Bank Transfer,Weekly
537,44,84,4.4,16,43-47,80-84,4.0-4.4,16-20,Male,Jacket,Outerwear,Illinois,IL,S,Maroon,Fall,Yes,Store Pickup,Yes,Yes,Debit Card,Every 3 Months
538,50,49,3.0,14,48-52,45-49,3.0-3.4,11-15,Male,Blouse,Clothing,Virginia,VA,S,Turquoise,Summer,Yes,Store Pickup,Yes,Yes,Debit Card,Annually
539,27,22,3.2,43,23-27,20-24,3.0-3.4,41-45,Male,Socks,Clothing,Virginia,VA,XL,Green,Spring,Yes,Free Shipping,Yes,Yes,Cash,Weekly
540,49,48,4.0,49,48-52,45-49,4.0-4.4,46-50,Male,Coat,Outerwear,Wyoming,WY,M,Violet,Winter,Yes,Store Pickup,Yes,Yes,Debit Card,Weekly
541,49,37,3.1,33,48-52,35-39,3.0-3.4,31-35,Male,Dress,Clothing,South Carolina,SC,M,Lavender,Spring,Yes,Next Day Air,Yes,Yes,Cash,Every 3 Months
542,52,27,2.8,45,48-52,25-29,2.5-2.9,41-45,Male,Jacket,Outerwear,Connecticut,CT,L,Gray,Fall,Yes,Next Day Air,Yes,Yes,Cash,Bi-Weekly
543,27,79,4.6,35,23-27,75-79,4.5-5.0,31-35,Male,Boots,Footwear,Illinois,IL,XL,Teal,Spring,Yes,Next Day Air,Yes,Yes,Cash,Bi-Weekly
544,53,98,4.3,11,53-57,95-100,4.0-4.4,11-15,Male,Skirt,Clothing,Alabama,AL,S,Red,Spring,Yes,Express,Yes,Yes,Credit Card,Monthly
545,34,64,3.3,30,33-37,60-64,3.0-3.4,26-30,Male,Sandals,Footwear,Washington,WA,S,Yellow,Summer,Yes,Standard,Yes,Yes,Bank Transfer,Every 3 Months
546,33,32,3.5,48,33-37,30-34,3.5-3.9,46-50,Male,Coat,Outerwear,Alabama,AL,L,Magenta,Summer,Yes,2-Day Shipping,Yes,Yes,Debit Card,Annually
547,62,74,3.4,45,58-62,70-74,3.0-3.4,41-45,Male,Hoodie,Clothing,New Mexico,NM,M,Brown,Winter,Yes,Free Shipping,Yes,Yes,Venmo,Bi-Weekly
548,38,50,2.8,26,38-42,50-54,2.5-2.9,26-30,Male,Jacket,Outerwear,Nevada,NV,M,Blue,Winter,Yes,Free Shipping,Yes,Yes,Venmo,Weekly
549,36,64,4.6,41,33-37,60-64,4.5-5.0,41-45,Male,Backpack,Accessories,Nebraska,NE,M,Black,Winter,Yes,Store Pickup,Yes,Yes,Debit Card,Every 3 Months
550,31,29,3.6,37,28-32,25-29,3.5-3.9,36-40,Male,Backpack,Accessories,Arizona,AZ,S,Olive,Fall,Yes,Express,Yes,Yes,Venmo,Bi-Weekly
551,62,62,3.3,12,58-62,60-64,3.0-3.4,11-15,Male,Belt,Accessories,Georgia,GA,M,Olive,Summer,Yes,Store Pickup,Yes,Yes,PayPal,Weekly
552,29,78,3.1,27,28-32,75-79,3.0-3.4,26-30,Male,Coat,Outerwear,Idaho,ID,XL,Green,Fall,Yes,2-Day Shipping,Yes,Yes,Cash,Bi-Weekly
553,24,94,3.5,18,23-27,90-94,3.5-3.9,16-20,Male,T-shirt,Clothing,Missouri,MO,M,Peach,Fall,Yes,Express,Yes,Yes,Bank Transfer,Weekly
554,63,59,3.2,15,63-67,55-59,3.0-3.4,11-15,Male,Sunglasses,Accessories,Florida,FL,M,White,Winter,Yes,Express,Yes,Yes,Credit Card,Quarterly
555,56,47,3.0,34,53-57,45-49,3.0-3.4,31-35,Male,Sneakers,Footwear,Minnesota,MN,M,Red,Summer,Yes,Express,Yes,Yes,Bank Transfer,Weekly
556,63,57,4.8,37,63-67,55-59,4.5-5.0,36-40,Male,Gloves,Accessories,Maine,ME,M,White,Fall,Yes,Express,Yes,Yes,Venmo,Annually
557,40,90,5.0,21,38-42,90-94,4.5-5.0,21-25,Male,Coat,Outerwear,Montana,MT,L,Indigo,Winter,Yes,Store Pickup,Yes,Yes,Cash,Fortnightly
558,18,60,2.9,31,18-22,60-64,2.5-2.9,31-35,Male,Shirt,Clothing,Alaska,AK,M,White,Spring,Yes,Free Shipping,Yes,Yes,Debit Card,Weekly
559,50,77,3.2,43,48-52,75-79,3.0-3.4,41-45,Male,Sneakers,Footwear,Iowa,IA,L,Teal,Fall,Yes,Express,Yes,Yes,Debit Card,Every 3 Months
560,66,41,2.9,22,63-67,40-44,2.5-2.9,21-25,Male,Scarf,Accessories,Arizona,AZ,M,Indigo,Fall,Yes,Store Pickup,Yes,Yes,Bank Transfer,Monthly
561,25,48,3.3,12,23-27,45-49,3.0-3.4,11-15,Male,Jewelry,Accessories,Louisiana,LA,L,Red,Fall,Yes,Free Shipping,Yes,Yes,Debit Card,Annually
562,65,65,2.6,25,63-67,65-69,2.5-2.9,21-25,Male,Jacket,Outerwear,Alabama,AL,M,Blue,Fall,Yes,Next Day Air,Yes,Yes,PayPal,Fortnightly
563,53,62,3.5,40,53-57,60-64,3.5-3.9,36-40,Male,Jeans,Clothing,Missouri,MO,M,Blue,Summer,Yes,Standard,Yes,Yes,Debit Card,Annually
564,61,99,4.4,16,58-62,95-100,4.0-4.4,16-20,Male,Shoes,Footwear,Idaho,ID,M,Black,Fall,Yes,Standard,Yes,Yes,Debit Card,Quarterly
565,67,58,3.4,30,63-67,55-59,3.0-3.4,26-30,Male,Hoodie,Clothing,Florida,FL,M,Olive,Winter,Yes,Next Day Air,Yes,Yes,Bank Transfer,Weekly
566,59,43,4.2,10,58-62,40-44,4.0-4.4,6-10,Male,Backpack,Accessories,Idaho,ID,L,Lavender,Fall,Yes,Store Pickup,Yes,Yes,Venmo,Weekly
567,55,93,3.6,1,53-57,90-94,3.5-3.9,1-5,Male,Sneakers,Footwear,Alabama,AL,M,Indigo,Spring,Yes,Store Pickup,Yes,Yes,Debit Card,Fortnightly
568,21,50,3.0,24,18-22,50-54,3.0-3.4,21-25,Male,Blouse,Clothing,New Hampshire,NH,S,Red,Winter,Yes,Next Day Air,Yes,Yes,Venmo,Fortnightly
569,44,88,4.0,36,43-47,85-89,4.0-4.4,36-40,Male,Pants,Clothing,Utah,UT,L,Red,Summer,Yes,Free Shipping,Yes,Yes,PayPal,Monthly
570,65,33,4.4,46,63-67,30-34,4.0-4.4,46-50,Male,Skirt,Clothing,Alabama,AL,M,Pink,Fall,Yes,Express,Yes,Yes,Credit Card,Every 3 Months
571,65,99,4.1,20,63-67,95-100,4.0-4.4,16-20,Male,T-shirt,Clothing,Iowa,IA,XL,Purple,Fall,Yes,Standard,Yes,Yes,Cash,Annually
572,54,76,3.6,37,53-57,75-79,3.5-3.9,36-40,Male,Jacket,Outerwear,Kentucky,KY,XL,Cyan,Spring,Yes,Free Shipping,Yes,Yes,Venmo,Weekly
573,56,97,4.6,26,53-57,95-100,4.5-5.0,26-30,Male,Scarf,Accessories,South Carolina,SC,XL,Cyan,Summer,Yes,Next Day Air,Yes,Yes,Bank Transfer,Annually
574,58,68,3.2,23,58-62,65-69,3.0-3.4,21-25,Male,Pants,Clothing,California,CA,M,Charcoal,Summer,Yes,2-Day Shipping,Yes,Yes,Credit Card,Bi-Weekly
575,54,79,4.8,20,53-57,75-79,4.5-5.0,16-20,Male,Sneakers,Footwear,Maine,ME,L,Red,Fall,Yes,Free Shipping,Yes,Yes,Bank Transfer,Bi-Weekly
576,58,86,4.8,38,58-62,85-89,4.5-5.0,36-40,Male,Jeans,Clothing,Nebraska,NE,M,Peach,Fall,Yes,Express,Yes,Yes,PayPal,Monthly
577,48,68,5.0,5,48-52,65-69,4.5-5.0,1-5,Male,Hat,Accessories,Washington,WA,M,Black,Winter,Yes,2-Day Shipping,Yes,Yes,Credit Card,Every 3 Months
578,19,52,3.7,41,18-22,50-54,3.5-3.9,41-45,Male,Skirt,Clothing,Alabama,AL,M,Black,Fall,Yes,Store Pickup,Yes,Yes,Venmo,Annually
579,69,90,4.6,22,68-70,90-94,4.5-5.0,21-25,Male,Sandals,Footwear,Maine,ME,M,Purple,Fall,Yes,Next Day Air,Yes,Yes,Credit Card,Fortnightly
580,58,41,3.7,48,58-62,40-44,3.5-3.9,46-50,Male,Sandals,Footwear,California,CA,M,Violet,Winter,Yes,Free Shipping,Yes,Yes,Credit Card,Annually
581,49,80,4.1,10,48-52,80-84,4.0-4.4,6-10,Male,Sweater,Clothing,Iowa,IA,M,Orange,Spring,Yes,Free Shipping,Yes,Yes,PayPal,Weekly
582,32,100,2.7,12,28-32,95-100,2.5-2.9,11-15,Male,Sweater,Clothing,Iowa,IA,XL,Charcoal,Winter,Yes,Store Pickup,Yes,Yes,Bank Transfer,Every 3 Months
583,40,77,4.9,2,38-42,75-79,4.5-5.0,1-5,Male,Jacket,Outerwear,Colorado,CO,L,Turquoise,Spring,Yes,Store Pickup,Yes,Yes,Bank Transfer,Quarterly
584,25,78,4.0,38,23-27,75-79,4.0-4.4,36-40,Male,Shorts,Clothing,California,CA,L,Yellow,Spring,Yes,Store Pickup,Yes,Yes,PayPal,Monthly
585,70,94,4.7,20,68-70,90-94,4.5-5.0,16-20,Male,Socks,Clothing,Indiana,IN,M,White,Spring,Yes,Free Shipping,Yes,Yes,Debit Card,Monthly
586,69,23,2.8,5,68-70,20-24,2.5-2.9,1-5,Male,Socks,Clothing,South Carolina,SC,M,Gray,Fall,Yes,Next Day Air,Yes,Yes,Cash,Every 3 Months
587,45,20,4.9,9,43-47,20-24,4.5-5.0,6-10,Male,Hoodie,Clothing,Wisconsin,WI,S,Blue,Winter,Yes,2-Day Shipping,Yes,Yes,Venmo,Annually
588,29,86,4.2,48,28-32,85-89,4.0-4.4,46-50,Male,Socks,Clothing,Washington,WA,S,Maroon,Fall,Yes,Express,Yes,Yes,Debit Card,Every 3 Months
589,47,60,3.0,9,43-47,60-64,3.0-3.4,6-10,Male,Boots,Footwear,South Dakota,SD,M,Violet,Fall,Yes,Standard,Yes,Yes,Debit Card,Quarterly
590,28,70,3.4,40,28-32,70-74,3.0-3.4,36-40,Male,Shirt,Clothing,Minnesota,MN,M,Orange,Fall,Yes,2-Day Shipping,Yes,Yes,PayPal,Annually
591,64,39,4.6,30,63-67,35-39,4.5-5.0,26-30,Male,Belt,Accessories,Alaska,AK,S,Turquoise,Fall,Yes,Standard,Yes,Yes,Venmo,Fortnightly
592,47,37,4.2,6,43-47,35-39,4.0-4.4,6-10,Male,Backpack,Accessories,Kentucky,KY,L,Olive,Fall,Yes,Store Pickup,Yes,Yes,Debit Card,Bi-Weekly
593,60,29,3.2,42,58-62,25-29,3.0-3.4,41-45,Male,Boots,Footwear,North Dakota,ND,M,Brown,Fall,Yes,Free Shipping,Yes,Yes,Venmo,Every 3 Months
594,67,35,4.4,9,63-67,35-39,4.0-4.4,6-10,Male,Coat,Outerwear,Alaska,AK,S,Green,Winter,Yes,Store Pickup,Yes,Yes,PayPal,Every 3 Months
595,35,83,2.5,6,33-37,80-84,2.5-2.9,6-10,Male,Hoodie,Clothing,Oklahoma,OK,S,Brown,Winter,Yes,Next Day Air,Yes,Yes,Debit Card,Monthly
596,30,77,3.6,47,28-32,75-79,3.5-3.9,46-50,Male,Shoes,Footwear,Delaware,DE,M,Silver,Summer,Yes,Next Day Air,Yes,Yes,PayPal,Quarterly
597,23,37,4.5,36,23-27,35-39,4.5-5.0,36-40,Male,Shoes,Footwear,Montana,MT,XL,White,Summer,Yes,Store Pickup,Yes,Yes,Venmo,Annually
598,70,69,3.4,19,68-70,65-69,3.0-3.4,16-20,Male,Jewelry,Accessories,Alaska,AK,L,Gold,Summer,Yes,Standard,Yes,Yes,Bank Transfer,Fortnightly
